"filename", "language", "C++", "CMake", "Makefile", "CMake Cache", "JSON", "Log", "C", "XML", "comment", "blank", "total"
"/home/kevin/qt_test1/detection.h", "C++", 112, 0, 0, 0, 0, 0, 0, 0, 7, 54, 173
"/home/kevin/qt_test1/drm_func.c", "C", 0, 0, 0, 0, 0, 0, 136, 0, 21, 20, 177
"/home/kevin/qt_test1/face_database.cpp", "C++", 88, 0, 0, 0, 0, 0, 0, 0, 54, 24, 166
"/home/kevin/qt_test1/face_database.h", "C++", 13, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"/home/kevin/qt_test1/facedetect.cpp", "C++", 52, 0, 0, 0, 0, 0, 0, 0, 7, 13, 72
"/home/kevin/qt_test1/facedetect.h", "C++", 22, 0, 0, 0, 0, 0, 0, 0, 1, 6, 29
"/home/kevin/qt_test1/fatigue.cpp", "C++", 213, 0, 0, 0, 0, 0, 0, 0, 59, 46, 318
"/home/kevin/qt_test1/fatigue.h", "C++", 70, 0, 0, 0, 0, 0, 0, 0, 6, 16, 92
"/home/kevin/qt_test1/form1.cpp", "C++", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"/home/kevin/qt_test1/include/3rdparty/CImg/CImg.h", "C++", 52829, 0, 0, 0, 0, 0, 0, 0, 8521, 3789, 65139
"/home/kevin/qt_test1/include/3rdparty/drm/include/demo.h", "C++", 103, 0, 0, 0, 0, 0, 0, 0, 6, 28, 137
"/home/kevin/qt_test1/include/3rdparty/drm/include/demo_define.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 29, 9, 45
"/home/kevin/qt_test1/include/3rdparty/drm/include/libdrm/amdgpu_drm.h", "C++", 628, 0, 0, 0, 0, 0, 0, 0, 332, 108, 1068
"/home/kevin/qt_test1/include/3rdparty/drm/include/libdrm/drm.h", "C++", 624, 0, 0, 0, 0, 0, 0, 0, 296, 123, 1043
"/home/kevin/qt_test1/include/3rdparty/drm/include/libdrm/drm_fourcc.h", "C++", 200, 0, 0, 0, 0, 0, 0, 0, 478, 86, 764
"/home/kevin/qt_test1/include/3rdparty/drm/include/libdrm/drm_mode.h", "C++", 493, 0, 0, 0, 0, 0, 0, 0, 310, 112, 915
"/home/kevin/qt_test1/include/3rdparty/drm/include/libdrm/drm_sarea.h", "C++", 42, 0, 0, 0, 0, 0, 0, 0, 37, 14, 93
"/home/kevin/qt_test1/include/3rdparty/drm/include/libdrm/i915_drm.h", "C++", 814, 0, 0, 0, 0, 0, 0, 0, 888, 214, 1916
"/home/kevin/qt_test1/include/3rdparty/drm/include/libdrm/mach64_drm.h", "C++", 148, 0, 0, 0, 0, 0, 0, 0, 68, 41, 257
"/home/kevin/qt_test1/include/3rdparty/drm/include/libdrm/mga_drm.h", "C++", 231, 0, 0, 0, 0, 0, 0, 0, 139, 58, 428
"/home/kevin/qt_test1/include/3rdparty/drm/include/libdrm/nouveau_drm.h", "C++", 165, 0, 0, 0, 0, 0, 0, 0, 26, 31, 222
"/home/kevin/qt_test1/include/3rdparty/drm/include/libdrm/qxl_drm.h", "C++", 97, 0, 0, 0, 0, 0, 0, 0, 36, 26, 159
"/home/kevin/qt_test1/include/3rdparty/drm/include/libdrm/r128_drm.h", "C++", 217, 0, 0, 0, 0, 0, 0, 0, 75, 45, 337
"/home/kevin/qt_test1/include/3rdparty/drm/include/libdrm/radeon_drm.h", "C++", 791, 0, 0, 0, 0, 0, 0, 0, 175, 114, 1080
"/home/kevin/qt_test1/include/3rdparty/drm/include/libdrm/savage_drm.h", "C++", 140, 0, 0, 0, 0, 0, 0, 0, 54, 27, 221
"/home/kevin/qt_test1/include/3rdparty/drm/include/libdrm/sis_drm.h", "C++", 36, 0, 0, 0, 0, 0, 0, 0, 31, 11, 78
"/home/kevin/qt_test1/include/3rdparty/drm/include/libdrm/tegra_drm.h", "C++", 151, 0, 0, 0, 0, 0, 0, 0, 455, 76, 682
"/home/kevin/qt_test1/include/3rdparty/drm/include/libdrm/vc4_drm.h", "C++", 221, 0, 0, 0, 0, 0, 0, 0, 172, 50, 443
"/home/kevin/qt_test1/include/3rdparty/drm/include/libdrm/via_drm.h", "C++", 190, 0, 0, 0, 0, 0, 0, 0, 49, 45, 284
"/home/kevin/qt_test1/include/3rdparty/drm/include/libdrm/virtgpu_drm.h", "C++", 124, 0, 0, 0, 0, 0, 0, 0, 31, 28, 183
"/home/kevin/qt_test1/include/3rdparty/drm/include/tool.h", "C++", 27, 0, 0, 0, 0, 0, 0, 0, 107, 12, 146
"/home/kevin/qt_test1/include/3rdparty/drm/include/xf86drm.h", "C++", 698, 0, 0, 0, 0, 0, 0, 0, 108, 125, 931
